,station_code,city_name,year,month,day,rainfall,period,quality,lat,long,station_name,avg_rainfall
122,9151,Perth,1968,7,15,22.9,1,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,6.43798449612403
123,9151,Perth,1968,7,16,5.1,1,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,6.43798449612403
124,9151,Perth,1968,7,23,5.6,1,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,6.43798449612403
125,9151,Perth,1968,7,24,8.1,1,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,6.43798449612403
126,9151,Perth,1968,7,25,2.5,1,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,6.43798449612403
127,9151,Perth,1968,7,26,0.3,1,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,6.43798449612403
128,9151,Perth,1968,7,27,3.6,1,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,6.43798449612403
129,9151,Perth,1968,7,28,3.8,1,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,6.43798449612403
130,9151,Perth,1968,7,29,12.4,1,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,6.43798449612403
131,9151,Perth,1968,7,30,13.0,1,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,6.43798449612403
132,9151,Perth,1968,7,31,6.4,1,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,6.43798449612403
133,9151,Perth,1968,8,1,0.3,1,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,6.43798449612403
134,9151,Perth,1968,8,3,4.8,1,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,6.43798449612403
135,9151,Perth,1968,8,6,8.1,1,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,6.43798449612403
136,9151,Perth,1968,8,7,11.4,1,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,6.43798449612403
137,9151,Perth,1968,8,8,3.8,1,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,6.43798449612403
138,9151,Perth,1968,8,9,0.5,1,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,6.43798449612403
139,9151,Perth,1968,8,10,0.3,1,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,6.43798449612403
140,9151,Perth,1968,8,11,10.2,1,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,6.43798449612403
141,9151,Perth,1968,8,16,1.3,1,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,6.43798449612403
142,9151,Perth,1968,8,17,25.7,1,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,6.43798449612403
143,9151,Perth,1968,8,18,8.4,1,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,6.43798449612403
144,9151,Perth,1968,8,19,6.1,1,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,6.43798449612403
145,9151,Perth,1968,8,23,6.4,1,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,6.43798449612403
146,9151,Perth,1968,8,24,4.8,1,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,6.43798449612403
147,9151,Perth,1968,8,25,1.5,1,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,6.43798449612403
148,9151,Perth,1968,8,26,2.5,1,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,6.43798449612403
149,9151,Perth,1968,8,27,7.4,1,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,6.43798449612403
150,9151,Perth,1968,8,28,3.6,1,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,6.43798449612403
151,9151,Perth,1968,9,1,5.3,1,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,6.43798449612403
152,9151,Perth,1968,9,2,2.0,1,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,6.43798449612403
153,9151,Perth,1968,9,3,0.3,1,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,6.43798449612403
154,9151,Perth,1968,9,4,3.0,1,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,6.43798449612403
155,9151,Perth,1968,9,9,2.5,1,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,6.43798449612403
156,9151,Perth,1968,9,10,24.1,1,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,6.43798449612403
157,9151,Perth,1968,9,11,16.0,1,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,6.43798449612403
158,9151,Perth,1968,9,12,1.8,1,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,6.43798449612403
159,9151,Perth,1968,9,13,8.9,1,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,6.43798449612403
160,9151,Perth,1968,9,14,4.8,1,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,6.43798449612403
161,9151,Perth,1968,9,18,14.2,1,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,6.43798449612403
162,9151,Perth,1968,9,19,3.8,1,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,6.43798449612403
163,9151,Perth,1968,9,22,3.6,1,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,6.43798449612403
164,9151,Perth,1968,9,23,6.1,1,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,6.43798449612403
165,9151,Perth,1968,9,27,2.8,1,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,6.43798449612403
166,9151,Perth,1968,9,28,9.1,1,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,6.43798449612403
167,9151,Perth,1968,9,29,1.3,1,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,6.43798449612403
168,9151,Perth,1968,9,30,0.3,1,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,6.43798449612403
169,9151,Perth,1968,10,5,8.9,1,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,6.43798449612403
170,9151,Perth,1968,10,6,2.5,1,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,6.43798449612403
171,9151,Perth,1968,10,15,14.0,1,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,6.43798449612403
